, #    , Problem                                                                                                                                                         , Solution                                                                               
257, 275  , [H-Index II](https://leetcode.com/problems/h-index-ii)                                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/275.py)  
258, 276  , [Paint Fence](https://leetcode.com/problems/paint-fence)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/276.py)  
259, 277  , [Find the Celebrity](https://leetcode.com/problems/find-the-celebrity)                                                                                          , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/277.py)    
260, 278  , [First Bad Version](https://leetcode.com/problems/first-bad-version)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/278.py)  
261, 279  , [Perfect Squares](https://leetcode.com/problems/perfect-squares)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/279.py)  
262, 280  , [Wiggle Sort](https://leetcode.com/problems/wiggle-sort)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/280.py)  
263, 281  , [Zigzag Iterator](https://leetcode.com/problems/zigzag-iterator)                                                                                                , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/281.py)    
264, 282  , [Expression Add Operators](https://leetcode.com/problems/expression-add-operators)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/282.py)  
265, 283  , [Move Zeroes](https://leetcode.com/problems/move-zeroes)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/283.py)  
266, 284  , [Peeking Iterator](https://leetcode.com/problems/peeking-iterator)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/284.py)  
267, 285  , [Inorder Successor in BST](https://leetcode.com/problems/inorder-successor-in-bst)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/285.py)  
268, 286  , [Walls and Gates](https://leetcode.com/problems/walls-and-gates)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/286.py)  
269, 287  , [Find the Duplicate Number](https://leetcode.com/problems/find-the-duplicate-number)                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/287.py)  
270, 288  , [Unique Word Abbreviation](https://leetcode.com/problems/unique-word-abbreviation)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/288.py)  
271, 289  , [Game of Life](https://leetcode.com/problems/game-of-life)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/289.py)  
272, 290  , [Word Pattern](https://leetcode.com/problems/word-pattern)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/290.py)  
273, 291  , [Word Pattern II](https://leetcode.com/problems/word-pattern-ii)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/291.py)  
274, 292  , [Nim Game](https://leetcode.com/problems/nim-game)                                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/292.py)  
275, 293  , [Flip Game](https://leetcode.com/problems/flip-game)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/293.py)  
276, 294  , [Flip Game II](https://leetcode.com/problems/flip-game-ii)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/294.py)  
277, 295  , [Find Median from Data Stream](https://leetcode.com/problems/find-median-from-data-stream)                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/295.py)  
278, 296  , [Best Meeting Point](https://leetcode.com/problems/best-meeting-point)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/296.py)  
279, 297  , [Serialize and Deserialize Binary Tree](https://leetcode.com/problems/serialize-and-deserialize-binary-tree)                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/297.py)  
280, 298  , [Binary Tree Longest Consecutive Sequence](https://leetcode.com/problems/binary-tree-longest-consecutive-sequence)                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/298.py)  
281, 299  , [Bulls and Cows](https://leetcode.com/problems/bulls-and-cows)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/299.py)  
282, 300  , [Longest Increasing Subsequence](https://leetcode.com/problems/longest-increasing-subsequence)                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/300.py)  
283, 301  , [Remove Invalid Parentheses](https://leetcode.com/problems/remove-invalid-parentheses)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/301.py)  
284, 302  , [Smallest Rectangle Enclosing Black Pixels](https://leetcode.com/problems/smallest-rectangle-enclosing-black-pixels)                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/302.py)  
285, 303  , [Range Sum Query - Immutable](https://leetcode.com/problems/range-sum-query-immutable)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/303.py)  
286, 304  , [Range Sum Query 2D - Immutable](https://leetcode.com/problems/range-sum-query-2d-immutable)                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/304.py)  
287, 305  , [Number of Islands II](https://leetcode.com/problems/number-of-islands-ii)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/305.py)  
288, 306  , [Additive Number](https://leetcode.com/problems/additive-number)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/306.py)  
289, 307  , [Range Sum Query - Mutable](https://leetcode.com/problems/range-sum-query-mutable)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/307.py)  
290, 308  , [Range Sum Query 2D - Mutable](https://leetcode.com/problems/range-sum-query-2d-mutable)                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/308.py)  
291, 309  , [Best Time to Buy and Sell Stock with Cooldown](https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown)                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/309.py)  
292, 310  , [Minimum Height Trees](https://leetcode.com/problems/minimum-height-trees)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/310.py)  
293, 311  , [Sparse Matrix Multiplication](https://leetcode.com/problems/sparse-matrix-multiplication)                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/311.py)  
294, 312  , [Burst Balloons](https://leetcode.com/problems/burst-balloons)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/312.py)  
295, 313  , [Super Ugly Number](https://leetcode.com/problems/super-ugly-number)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/313.py)  
296, 314  , [Binary Tree Vertical Order Traversal](https://leetcode.com/problems/binary-tree-vertical-order-traversal)                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/314.py)  
297, 315  , [Count of Smaller Numbers After Self](https://leetcode.com/problems/count-of-smaller-numbers-after-self)                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/315.py)  
298, 316  , [Remove Duplicate Letters](https://leetcode.com/problems/remove-duplicate-letters)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/316.py)  
299, 317  , [Shortest Distance from All Buildings](https://leetcode.com/problems/shortest-distance-from-all-buildings)                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/317.py)  
300, 318  , [Maximum Product of Word Lengths](https://leetcode.com/problems/maximum-product-of-word-lengths)                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/318.py)  
301, 319  , [Bulb Switcher](https://leetcode.com/problems/bulb-switcher)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/319.py)  
302, 320  , [Generalized Abbreviation](https://leetcode.com/problems/generalized-abbreviation)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/320.py)  
303, 321  , [Create Maximum Number](https://leetcode.com/problems/create-maximum-number)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/321.py)  
304, 322  , [Coin Change](https://leetcode.com/problems/coin-change)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/322.py)  
305, 323  , [Number of Connected Components in an Undirected Graph](https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph)                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/323.py)  
306, 324  , [Wiggle Sort II](https://leetcode.com/problems/wiggle-sort-ii)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/324.py)  
307, 325  , [Maximum Size Subarray Sum Equals k](https://leetcode.com/problems/maximum-size-subarray-sum-equals-k)                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/325.py)  
308, 326  , [Power of Three](https://leetcode.com/problems/power-of-three)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/326.py)  
309, 327  , [Count of Range Sum](https://leetcode.com/problems/count-of-range-sum)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/327.py)  
310, 328  , [Odd Even Linked List](https://leetcode.com/problems/odd-even-linked-list)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/328.py)  
311, 329  , [Longest Increasing Path in a Matrix](https://leetcode.com/problems/longest-increasing-path-in-a-matrix)                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/329.py)  
312, 330  , [Patching Array](https://leetcode.com/problems/patching-array)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/330.py)  
313, 331  , [Verify Preorder Serialization of a Binary Tree](https://leetcode.com/problems/verify-preorder-serialization-of-a-binary-tree)                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/331.py)  
314, 332  , [Reconstruct Itinerary](https://leetcode.com/problems/reconstruct-itinerary)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/332.py)  
315, 333  , [Largest BST Subtree](https://leetcode.com/problems/largest-bst-subtree)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/333.py)  
316, 334  , [Increasing Triplet Subsequence](https://leetcode.com/problems/increasing-triplet-subsequence)                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/334.py)  
317, 335  , [Self Crossing](https://leetcode.com/problems/self-crossing)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/335.py)  
318, 336  , [Palindrome Pairs](https://leetcode.com/problems/palindrome-pairs)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/336.py)  
319, 337  , [House Robber III](https://leetcode.com/problems/house-robber-iii)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/337.py)  
320, 338  , [Counting Bits](https://leetcode.com/problems/counting-bits)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/338.py)  
321, 339  , [Nested List Weight Sum](https://leetcode.com/problems/nested-list-weight-sum)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/339.py)  
322, 340  , [Longest Substring with At Most K Distinct Characters](https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters)                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/340.py)  
323, 342  , [Power of Four](https://leetcode.com/problems/power-of-four)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/342.py)  
324, 343  , [Integer Break](https://leetcode.com/problems/integer-break)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/343.py)  
325, 344  , [Reverse String](https://leetcode.com/problems/reverse-string)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/344.py)  
326, 345  , [Reverse Vowels of a String](https://leetcode.com/problems/reverse-vowels-of-a-string)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/345.py)  
327, 346  , [Moving Average from Data Stream](https://leetcode.com/problems/moving-average-from-data-stream)                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/346.py)  
328, 347  , [Top K Frequent Elements](https://leetcode.com/problems/top-k-frequent-elements)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/347.py)  
329, 348  , [Design Tic-Tac-Toe](https://leetcode.com/problems/design-tic-tac-toe)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/348.py)  
330, 349  , [Intersection of Two Arrays](https://leetcode.com/problems/intersection-of-two-arrays)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/349.py)  
331, 350  , [Intersection of Two Arrays II](https://leetcode.com/problems/intersection-of-two-arrays-ii)                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/350.py)  
332, 351  , [Android Unlock Patterns](https://leetcode.com/problems/android-unlock-patterns)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/351.py)  
333, 352  , [Data Stream as Disjoint Intervals](https://leetcode.com/problems/data-stream-as-disjoint-intervals)                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/352.py)  
334, 353  , [Design Snake Game](https://leetcode.com/problems/design-snake-game)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/353.py)  
335, 354  , [Russian Doll Envelopes](https://leetcode.com/problems/russian-doll-envelopes)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/354.py)  
336, 355  , [Design Twitter](https://leetcode.com/problems/design-twitter)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/355.py)  
337, 356  , [Line Reflection](https://leetcode.com/problems/line-reflection)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/356.py)  
338, 357  , [Count Numbers with Unique Digits](https://leetcode.com/problems/count-numbers-with-unique-digits)                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/357.py)  
339, 358  , [Rearrange String k Distance Apart](https://leetcode.com/problems/rearrange-string-k-distance-apart)                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/358.py)  
340, 359  , [Logger Rate Limiter](https://leetcode.com/problems/logger-rate-limiter)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/359.py)  
341, 360  , [Sort Transformed Array](https://leetcode.com/problems/sort-transformed-array)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/360.py)  
342, 361  , [Bomb Enemy](https://leetcode.com/problems/bomb-enemy)                                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/361.py)  
343, 362  , [Design Hit Counter](https://leetcode.com/problems/design-hit-counter)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/362.py)  
344, 363  , [Max Sum of Rectangle No Larger Than K](https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k)                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/363.py)  
345, 364  , [Nested List Weight Sum II](https://leetcode.com/problems/nested-list-weight-sum-ii)                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/364.py)  
346, 365  , [Water and Jug Problem](https://leetcode.com/problems/water-and-jug-problem)                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/365.py)  
347, 366  , [Find Leaves of Binary Tree](https://leetcode.com/problems/find-leaves-of-binary-tree)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/366.py)  
348, 367  , [Valid Perfect Square](https://leetcode.com/problems/valid-perfect-square)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/367.py)  
349, 368  , [Largest Divisible Subset](https://leetcode.com/problems/largest-divisible-subset)                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/368.py)  
350, 369  , [Plus One Linked List](https://leetcode.com/problems/plus-one-linked-list)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/369.py)  
351, 370  , [Range Addition](https://leetcode.com/problems/range-addition)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/370.py)  
352, 371  , [Sum of Two Integers](https://leetcode.com/problems/sum-of-two-integers)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/371.py)  
353, 372  , [Super Pow](https://leetcode.com/problems/super-pow)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/372.py)  
354, 373  , [Find K Pairs with Smallest Sums](https://leetcode.com/problems/find-k-pairs-with-smallest-sums)                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/373.py)  
355, 374  , [Guess Number Higher or Lower](https://leetcode.com/problems/guess-number-higher-or-lower)                                                                      , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/374.py)    
356, 375  , [Guess Number Higher or Lower II](https://leetcode.com/problems/guess-number-higher-or-lower-ii)                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/375.py)  
357, 376  , [Wiggle Subsequence](https://leetcode.com/problems/wiggle-subsequence)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/376.py)  
358, 377  , [Combination Sum IV](https://leetcode.com/problems/combination-sum-iv)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/377.py)  
359, 378  , [Kth Smallest Element in a Sorted Matrix](https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix)                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/378.py)  
360, 379  , [Design Phone Directory](https://leetcode.com/problems/design-phone-directory)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/379.py)  
361, 380  , [Insert Delete GetRandom O(1)](https://leetcode.com/problems/insert-delete-getrandom-o1)                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/380.py)  
362, 381  , [Insert Delete GetRandom O(1) - Duplicates allowed](https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed)                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/381.py)  
363, 382  , [Linked List Random Node](https://leetcode.com/problems/linked-list-random-node)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/382.py)  
364, 383  , [Ransom Note](https://leetcode.com/problems/ransom-note)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/383.py)  
365, 384  , [Shuffle an Array](https://leetcode.com/problems/shuffle-an-array)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/384.py)  
366, 385  , [Mini Parser](https://leetcode.com/problems/mini-parser)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/385.py)  
367, 386  , [Lexicographical Numbers](https://leetcode.com/problems/lexicographical-numbers)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/386.py)  
368, 387  , [First Unique Character in a String](https://leetcode.com/problems/first-unique-character-in-a-string)                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/387.py)  
369, 388  , [Longest Absolute File Path](https://leetcode.com/problems/longest-absolute-file-path)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/388.py)  
370, 389  , [Find the Difference](https://leetcode.com/problems/find-the-difference)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/389.py)  
371, 390  , [Elimination Game](https://leetcode.com/problems/elimination-game)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/390.py)  
372, 391  , [Perfect Rectangle](https://leetcode.com/problems/perfect-rectangle)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/391.py)  
373, 392  , [Is Subsequence](https://leetcode.com/problems/is-subsequence)                                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/392.py)  
374, 393  , [UTF-8 Validation](https://leetcode.com/problems/utf-8-validation)                                                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/393.py)  
375, 394  , [Decode String](https://leetcode.com/problems/decode-string)                                                                                                    , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/394.py)  
376, 395  , [Longest Substring with At Least K Repeating Characters](https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters)                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/395.py)  
377, 396  , [Rotate Function](https://leetcode.com/problems/rotate-function)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/396.py)  
378, 397  , [Integer Replacement](https://leetcode.com/problems/integer-replacement)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/397.py)  
379, 398  , [Random Pick Index](https://leetcode.com/problems/random-pick-index)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/398.py)  
380, 399  , [Evaluate Division](https://leetcode.com/problems/evaluate-division)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/399.py)  
381, 400  , [Nth Digit](https://leetcode.com/problems/nth-digit)                                                                                                            , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/400.py)    
382, 401  , [Binary Watch](https://leetcode.com/problems/binary-watch)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/401.py)  
383, 402  , [Remove K Digits](https://leetcode.com/problems/remove-k-digits)                                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/402.py)  
384, 403  , [Frog Jump](https://leetcode.com/problems/frog-jump)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/403.py)  
385, 404  , [Sum of Left Leaves](https://leetcode.com/problems/sum-of-left-leaves)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/404.py)  
386, 405  , [Convert a Number to Hexadecimal](https://leetcode.com/problems/convert-a-number-to-hexadecimal)                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/405.py)  
387, 406  , [Queue Reconstruction by Height](https://leetcode.com/problems/queue-reconstruction-by-height)                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/406.py)  
388, 407  , [Trapping Rain Water II](https://leetcode.com/problems/trapping-rain-water-ii)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/407.py)  
389, 408  , [Valid Word Abbreviation](https://leetcode.com/problems/valid-word-abbreviation)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/408.py)  
390, 409  , [Longest Palindrome](https://leetcode.com/problems/longest-palindrome)                                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/409.py)  
391, 410  , [Split Array Largest Sum](https://leetcode.com/problems/split-array-largest-sum)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/410.py)  
392, 411  , [Minimum Unique Word Abbreviation](https://leetcode.com/problems/minimum-unique-word-abbreviation)                                                              , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/411.py)  
393, 412  , [Fizz Buzz](https://leetcode.com/problems/fizz-buzz)                                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/412.py)  
394, 413  , [Arithmetic Slices](https://leetcode.com/problems/arithmetic-slices)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/413.py)  
395, 414  , [Third Maximum Number](https://leetcode.com/problems/third-maximum-number)                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/414.py)  
396, 415  , [Add Strings](https://leetcode.com/problems/add-strings)                                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/415.py)  
397, 416  , [Partition Equal Subset Sum](https://leetcode.com/problems/partition-equal-subset-sum)                                                                          , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/416.py)  
398, 417  , [Pacific Atlantic Water Flow](https://leetcode.com/problems/pacific-atlantic-water-flow)                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/417.py)  
399, 418  , [Sentence Screen Fitting](https://leetcode.com/problems/sentence-screen-fitting)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/418.py)  
400, 419  , [Battleships in a Board](https://leetcode.com/problems/battleships-in-a-board)                                                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/419.py)  
401, 420  , [Strong Password Checker](https://leetcode.com/problems/strong-password-checker)                                                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/420.py)  
402, 421  , [Maximum XOR of Two Numbers in an Array](https://leetcode.com/problems/maximum-xor-of-two-numbers-in-an-array)                                                  , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/421.py)  
403, 422  , [Valid Word Square](https://leetcode.com/problems/valid-word-square)                                                                                            , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/422.py)  
404, 423  , [Reconstruct Original Digits from English](https://leetcode.com/problems/reconstruct-original-digits-from-english)                                              , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/423.py)    
405, 424  , [Longest Repeating Character Replacement](https://leetcode.com/problems/longest-repeating-character-replacement)                                                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/424.py)  
406, 425  , [Word Squares](https://leetcode.com/problems/word-squares)                                                                                                      , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/425.py)  
407, 426  , [Convert Binary Search Tree to Sorted Doubly Linked List](https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list)                , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/426.py)  
408, 427  , [Construct Quad Tree](https://leetcode.com/problems/construct-quad-tree)                                                                                        , [python3](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python3/427.py)  
409, 428  , [Serialize and Deserialize N-ary Tree](https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree)                                                      , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/428.py)    
410, 429  , [N-ary Tree Level Order Traversal](https://leetcode.com/problems/n-ary-tree-level-order-traversal)                                                              , [python](https://github.com/cnkyrpsgl/leetcode/blob/master/solutions/python/429.py)    
